pl_name,pl_letter,hd_name,gaia_id,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,pul_flag
GJ 687 b,b,,Gaia DR2 1637645127018395776,1.0,2.0,0.0,Radial Velocity,2014.0,Ground,Lick Observatory,2.4 m Automated Planet Finder Telescope,
GJ 687 c,c,,Gaia DR2 1637645127018395776,1.0,2.0,0.0,Radial Velocity,2020.0,Ground,Multiple Observatories,Multiple Telescopes,
GJ 720 A b,b,,Gaia DR2 2118424350249708800,2.0,1.0,0.0,Radial Velocity,2021.0,Ground,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,
GJ 740 b,b,HD 176029,Gaia DR2 4282578724832056576,1.0,1.0,0.0,Radial Velocity,2021.0,Ground,Multiple Observatories,Multiple Telescopes,
GJ 832 b,b,HD 204961,Gaia DR2 6562924609150908416,1.0,1.0,0.0,Radial Velocity,2008.0,Ground,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,
GJ 849 b,b,,Gaia DR2 2627117287488522240,1.0,2.0,0.0,Radial Velocity,2006.0,Ground,W. M. Keck Observatory,10 m Keck I Telescope,
GJ 849 c,c,,Gaia DR2 2627117287488522240,1.0,2.0,0.0,Radial Velocity,2014.0,Ground,W. M. Keck Observatory,10 m Keck I Telescope,
GJ 86 b,b,HD 13445,Gaia DR2 4937000898855759104,2.0,1.0,0.0,Radial Velocity,1999.0,Ground,La Silla Observatory,1.2 m Leonhard Euler Telescope,
GJ 876 b,b,,Gaia DR2 2603090003484152064,1.0,4.0,0.0,Radial Velocity,1998.0,Ground,Multiple Observatories,Multiple Telescopes,
GJ 876 c,c,,Gaia DR2 2603090003484152064,1.0,4.0,0.0,Radial Velocity,2000.0,Ground,Multiple Observatories,Multiple Telescopes,
GJ 876 d,d,,Gaia DR2 2603090003484152064,1.0,4.0,0.0,Radial Velocity,2005.0,Ground,W. M. Keck Observatory,10 m Keck I Telescope,
GJ 876 e,e,,Gaia DR2 2603090003484152064,1.0,4.0,0.0,Radial Velocity,2010.0,Ground,W. M. Keck Observatory,10 m Keck I Telescope,
GJ 887 b,b,HD 217987,Gaia DR2 6553614253923452800,1.0,2.0,0.0,Radial Velocity,2020.0,Ground,La Silla Observatory,3.6 m ESO Telescope,
GJ 887 c,c,HD 217987,Gaia DR2 6553614253923452800,1.0,2.0,0.0,Radial Velocity,2020.0,Ground,La Silla Observatory,3.6 m ESO Telescope,
GJ 896 A b,b,,Gaia DR2 2824770686019003904,2.0,1.0,0.0,Astrometry,2022.0,Ground,Very Long Baseline Array,Multiple Telescopes,
GJ 9066 c,c,,Gaia DR2 76868614540049408,1.0,1.0,0.0,Radial Velocity,2020.0,Ground,Multiple Observatories,Multiple Telescopes,
